date,latitude,longitude,fire_occurred,temperature_2m_mean,relative_humidity_2m_mean,precipitation_sum,wind_speed_10m_max
2023-01-01,36.47,6.18,0,9.0,61,0.0,9.0
2023-01-01,36.6,6.84,0,14.5,40,0.0,16.6
2023-01-01,37.15759,13.8772,1,12.1,83,0.0,10.8
2023-01-01,37.21299,15.16982,1,13.2,79,0.0,8.5
2023-01-01,37.46,18.44,0,16.7,78,0.6,16.4
2023-01-01,37.68225,15.14353,1,13.0,77,0.0,6.3
2023-01-01,37.74898,15.00801,1,-3.2,83,0.0,8.3
2023-01-01,37.74898,15.02903,1,1.3,83,0.0,8.3
2023-01-01,37.74966,15.03176,1,1.3,83,0.0,8.3
2023-01-01,37.74967,15.0316,1,1.3,83,0.0,8.3
2023-01-01,37.75122,15.03431,1,1.3,83,0.0,8.3
2023-01-01,37.7558,15.02279,1,-2.6,84,0.0,5.6
2023-01-01,37.756,15.0156,1,-2.6,84,0.0,5.6
2023-01-01,37.94,11.14,0,16.6,85,0.0,25.2
2023-01-01,37.95819,16.06235,1,12.5,65,0.0,12.0
2023-01-01,37.96349,16.06364,1,12.5,65,0.0,12.0
2023-01-01,38.19,16.2,0,13.6,69,0.0,6.3
2023-01-01,38.19,18.63,0,16.5,81,0.1,16.4
2023-01-01,38.35,12.8,0,16.1,75,0.0,15.7
2023-01-01,38.71,16.15,0,10.7,85,0.0,6.4
2023-01-01,38.79174,15.21122,1,10.9,83,0.0,12.0
2023-01-01,38.79514,15.21366,1,13.9,83,0.0,12.0
2023-01-01,38.90536,16.50627,1,11.2,79,0.0,10.7
2023-01-01,39.09,10.78,0,16.3,87,0.0,20.6
2023-01-01,39.42,11.54,0,16.1,88,0.0,18.6
2023-01-01,39.83,8.1,0,16.1,79,0.0,28.0
2023-01-01,40.22,10.51,0,16.1,85,0.0,18.6
2023-01-01,40.4,17.63,0,11.5,88,0.0,9.0
2023-01-01,40.5006,17.21562,1,10.7,95,0.0,7.4
2023-01-01,40.50177,17.20169,1,11.0,87,0.0,6.9
2023-01-01,40.5028,17.20757,1,11.0,87,0.0,6.9
2023-01-01,40.50674,17.21377,1,11.0,87,0.0,6.9
2023-01-01,40.50781,17.20975,1,11.0,87,0.0,6.9
2023-01-01,40.50781,17.20988,1,11.0,87,0.0,6.9
2023-01-01,40.87,10.95,0,16.2,81,0.0,22.5
2023-01-01,41.13,17.45,0,14.7,87,0.0,14.8
2023-01-01,41.69,17.98,0,14.7,88,0.0,6.2
2023-01-01,41.71,9.78,0,14.9,87,0.0,16.9
2023-01-01,41.82,9.08,0,9.2,82,0.0,4.4
2023-01-01,42.16,14.28,0,9.9,89,0.0,5.7
2023-01-01,42.95,8.2,0,14.4,94,0.0,14.0
2023-01-01,43.27,9.99,0,15.9,83,0.0,24.3
2023-01-01,43.48,9.9,0,15.7,84,0.3,24.8
2023-01-01,43.77,11.08,0,10.1,94,0.0,6.6
2023-01-01,43.97,14.43,0,15.5,82,0.0,14.8
2023-01-01,44.86,8.78,0,7.2,94,0.5,7.2
2023-01-01,45.4,16.34,0,12.6,80,0.0,20.6
2023-01-01,45.93,15.64,0,11.4,82,0.0,16.8
2023-01-01,46.24,14.78,0,4.7,94,0.0,15.6
2023-01-01,47.0,8.3,0,10.3,72,0.0,9.7
2023-01-02,36.11,12.26,0,17.2,73,0.0,18.5
2023-01-02,36.53,15.56,0,16.3,79,0.0,13.5
2023-01-02,37.74685,15.01595,1,-1.8,82,0.0,5.8
2023-01-02,37.74861,15.00764,1,-3.8,81,0.0,5.8
2023-01-02,37.74947,15.01269,1,-3.8,81,0.0,5.8
2023-01-02,37.75552,15.03281,1,-2.3,87,0.0,4.8
2023-01-02,38.68,8.22,0,16.6,82,0.0,34.5
2023-01-02,38.79309,15.21373,1,11.1,75,0.0,18.3
2023-01-02,39.08134,9.02071,1,15.1,88,0.1,19.1
2023-01-02,40.49163,17.19554,1,11.6,85,0.0,7.6
2023-01-02,40.4986,17.20335,1,11.6,85,0.0,7.6
2023-01-02,40.50049,17.21438,1,11.6,85,0.0,7.6
2023-01-02,40.50262,17.20488,1,11.6,85,0.0,7.6
2023-01-02,40.50557,17.21117,1,11.6,85,0.0,7.6
2023-01-02,40.50893,17.17662,1,11.6,85,0.0,7.6
2023-01-02,40.51171,17.20322,1,11.6,85,0.0,7.6
2023-01-02,40.58,6.79,0,17.0,79,0.0,26.8
2023-01-02,40.62862,18.00053,1,11.3,92,0.0,9.4
2023-01-02,40.71,6.1,0,17.1,80,0.0,29.5
2023-01-02,41.3,17.81,0,14.5,90,0.0,14.8
2023-01-02,41.32016,15.08705,1,7.4,93,0.0,14.5
2023-01-02,42.88,9.48,0,14.0,92,0.0,21.6
2023-01-02,43.05,7.14,0,14.7,89,0.0,21.3
2023-01-02,44.4,7.01,0,-4.9,93,0.0,9.4
2023-01-02,44.77,8.22,0,7.8,95,1.0,6.9
2023-01-02,47.33,18.53,0,6.4,96,0.0,15.5
2023-01-03,36.49,15.5,0,16.5,83,0.0,21.6
2023-01-03,36.76,13.59,0,16.7,82,0.6,13.0
2023-01-03,37.08,6.32,0,16.0,59,0.0,10.0
2023-01-03,37.12177,15.21684,1,12.6,88,0.5,11.6
2023-01-03,37.21101,15.16919,1,12.7,86,0.0,7.9
2023-01-03,37.26,14.24,0,11.2,88,0.0,11.5
2023-01-03,37.29,18.75,0,16.5,70,0.0,19.1
2023-01-03,37.74686,15.00374,1,-3.6,67,0.0,3.7
2023-01-03,37.74781,15.01838,1,0.2,68,0.0,3.7
2023-01-03,37.7491,14.99047,1,-4.1,67,0.0,3.7
2023-01-03,37.75241,14.99127,1,-4.1,67,0.0,3.7
2023-01-03,37.75694,15.02549,1,-2.1,80,0.0,5.6
2023-01-03,37.75771,15.02092,1,-1.6,67,0.0,5.7
2023-01-03,37.8,11.39,0,16.9,77,0.0,28.0
2023-01-03,37.95644,14.61004,1,8.0,80,0.0,8.6
